,date,top_artists,top_1,top_2,top_3
58,2023-02-28,"['Steven Seagal', 'XXXTentacion', 'Selena Gomez']",Steven Seagal,XXXTentacion,Selena Gomez
59,2023-03-01,"['Ed Sheeran', 'Selena Gomez', 'XXXTentacion']",Ed Sheeran,Selena Gomez,XXXTentacion
60,2023-03-02,"['Selena Gomez', 'Ed Sheeran', 'XXXTentacion']",Selena Gomez,Ed Sheeran,XXXTentacion
61,2023-03-03,"['Selena Gomez', 'XXXTentacion', 'Bruce Willis']",Selena Gomez,XXXTentacion,Bruce Willis
62,2023-03-04,"['XXXTentacion', 'Selena Gomez', 'Russell Brand']",XXXTentacion,Selena Gomez,Russell Brand
63,2023-03-05,"['XXXTentacion', 'Selena Gomez', 'Lele Pons']",XXXTentacion,Selena Gomez,Lele Pons
64,2023-03-06,"['Lynyrd Skynyrd', 'Bruce Willis', 'David Byrne']",Lynyrd Skynyrd,Bruce Willis,David Byrne
65,2023-03-07,"['Niall Horan', 'Avril Lavigne', 'Lynyrd Skynyrd']",Niall Horan,Avril Lavigne,Lynyrd Skynyrd
66,2023-03-08,"['Niall Horan', 'Avril Lavigne', 'Russell Brand']",Niall Horan,Avril Lavigne,Russell Brand
67,2023-03-09,"['Michael Bolton', 'XXXTentacion', 'Bruce Willis']",Michael Bolton,XXXTentacion,Bruce Willis
68,2023-03-10,"['XXXTentacion', 'Miley Cyrus', 'Russell Brand']",XXXTentacion,Miley Cyrus,Russell Brand
69,2023-03-11,"['Stevie Nicks', 'XXXTentacion', 'Miley Cyrus']",Stevie Nicks,XXXTentacion,Miley Cyrus
70,2023-03-12,"['Austin Butler', 'XXXTentacion', 'Miley Cyrus']",Austin Butler,XXXTentacion,Miley Cyrus
71,2023-03-13,"['Sarah Polley', 'Angela Bassett', 'Lady Gaga']",Sarah Polley,Angela Bassett,Lady Gaga
72,2023-03-14,"['Niall Horan', 'Angela Bassett', 'XXXTentacion']",Niall Horan,Angela Bassett,XXXTentacion
73,2023-03-15,"['XXXTentacion', 'Alia Bhatt', 'Niall Horan']",XXXTentacion,Alia Bhatt,Niall Horan
74,2023-03-16,"['XXXTentacion', 'Scarlett Johansson', 'Zachary Levi']",XXXTentacion,Scarlett Johansson,Zachary Levi
75,2023-03-17,"['Taylor Swift', 'Keanu Reeves', 'XXXTentacion']",Taylor Swift,Keanu Reeves,XXXTentacion
76,2023-03-18,"['Toni Collette', 'Taylor Swift', 'Keanu Reeves']",Toni Collette,Taylor Swift,Keanu Reeves
77,2023-03-19,"['Taylor Swift', 'Keanu Reeves', 'Bruce Willis']",Taylor Swift,Keanu Reeves,Bruce Willis
